archivo,titulo,fuente,autor,año_publicacion,categoria,palabras_aprox
01_El_jardin_de_los_senderos_que_se_bifurcan.txt,El jardín de los senderos que se bifurcan,"Ficciones, El jardín de los senderos que se bifurcan",Jorge Luis Borges,1941,cuento,3744
02_La_biblioteca_de_Babel.txt,La Biblioteca de Babel,"Ficciones, El jardín de los senderos que se bifurcan",Jorge Luis Borges,1941,cuento,2776
03_Tlön_Uqbar_Orbis_Tertius.txt,"Tlön, Uqbar, Orbis Tertius","Ficciones, El jardín de los senderos que se bifurcan",Jorge Luis Borges,1941,cuento,5684
04_La_lotería_en_Babilonia.txt,La lotería en Babilonia,"Ficciones, El jardín de los senderos que se bifurcan",Jorge Luis Borges,1941,cuento,2158
05_Pierre_Menard_autor_del_Quijote.txt,"Pierre Menard, autor del Quijote","Ficciones, El jardín de los senderos que se bifurcan",Jorge Luis Borges,1941,cuento,2864
06_La_muerte_y_la_brújula.txt,La muerte y la brújula,"Ficciones, Artificios",Jorge Luis Borges,1944,cuento,3842
07_Funes_el_memorioso.txt,Funes el memorioso,"Ficciones, Artificios",Jorge Luis Borges,1944,cuento,2695
08_El_milagro_secreto.txt,El milagro secreto,"Ficciones, Artificios",Jorge Luis Borges,1944,cuento,2243
09_La_escritura_ del_dios.txt,La escritura del dios,El Aleph,Jorge Luis Borges,1949,cuento,1733
10_Los_teólogos.txt,Los teólogos,El Aleph,Jorge Luis Borges,1949,cuento,2832
11_La_casa_de_Asterión.txt,La casa de Asterión,El Aleph,Jorge Luis Borges,1949,cuento,885
12_El_Zahir.txt,El Zahir,El Aleph,Jorge Luis Borges,1949,cuento,3067
13_El_inmortal.txt,El Inmortal,El Aleph,Jorge Luis Borges,1949,cuento,5135
14_El_Aleph.txt,El Aleph,El Aleph,Jorge Luis Borges,1949,cuento,4737
15_Borges_y_yo.txt,Borges y yo,El Hacedor,Jorge Luis Borges,1960,minicuento,321
16_El_libro_de_arena.txt,El libro de arena,El libro de arena,Jorge Luis Borges,1975,cuento,1397
17_Undr.txt,Undr,El libro de arena,Jorge Luis Borges,1975,cuento,1699
18_La_larga_busca.txt,La larga busca,Los conjurados,Jorge Luis Borges,1985,minicuento,245
